CustomerID,CustomerName,Segment,Region,Country,SignupDate
CUST10000,Customer_0,Home Office,West,India,2022-06-05
CUST10001,Customer_1,Consumer,West,India,2020-03-16
CUST10002,Customer_2,Home Office,South,India,2023-03-27
CUST10003,Customer_3,Home Office,North,India,2020-11-24
CUST10004,Customer_4,Consumer,South,India,2020-05-01
CUST10005,Customer_5,Consumer,West,India,2020-02-10
CUST10006,Customer_6,Home Office,South,India,2023-04-05
CUST10007,Customer_7,Corporate,North,India,2022-07-10
CUST10008,Customer_8,Home Office,East,India,2021-10-03
CUST10009,Customer_9,Home Office,East,India,2022-11-12
CUST10010,Customer_10,Home Office,South,India,2020-10-05
CUST10011,Customer_11,Home Office,North,India,2022-02-01
CUST10012,Customer_12,Consumer,East,India,2021-04-13
CUST10013,Customer_13,Home Office,South,India,2023-11-24
CUST10014,Customer_14,Corporate,South,India,2020-01-09
CUST10015,Customer_15,Consumer,North,India,2020-01-13
CUST10016,Customer_16,Corporate,West,India,2022-07-12
CUST10017,Customer_17,Corporate,South,India,2022-07-11
CUST10018,Customer_18,Corporate,West,India,2022-12-11
CUST10019,Customer_19,Corporate,West,India,2023-05-17
CUST10020,Customer_20,Consumer,East,India,2023-11-26
CUST10021,Customer_21,Consumer,West,India,2023-04-29
CUST10022,Customer_22,Corporate,North,India,2022-12-10
CUST10023,Customer_23,Corporate,East,India,2023-11-17
CUST10024,Customer_24,Consumer,East,India,2021-10-14
CUST10025,Customer_25,Consumer,East,India,2021-09-12
CUST10026,Customer_26,Consumer,South,India,2023-08-16
CUST10027,Customer_27,Home Office,South,India,2020-07-14
CUST10028,Customer_28,Home Office,West,India,2021-02-20
CUST10029,Customer_29,Home Office,East,India,2021-10-25
CUST10030,Customer_30,Corporate,East,India,2023-12-14
CUST10031,Customer_31,Home Office,North,India,2023-10-11
CUST10032,Customer_32,Corporate,West,India,2020-05-27
CUST10033,Customer_33,Corporate,North,India,2022-09-27
CUST10034,Customer_34,Home Office,West,India,2023-10-20
CUST10035,Customer_35,Corporate,West,India,2020-12-29
CUST10036,Customer_36,Home Office,South,India,2021-02-05
CUST10037,Customer_37,Home Office,South,India,2021-08-28
CUST10038,Customer_38,Consumer,North,India,2020-08-16
CUST10039,Customer_39,Home Office,West,India,2021-06-20
CUST10040,Customer_40,Consumer,East,India,2020-09-24
CUST10041,Customer_41,Home Office,South,India,2023-11-29
CUST10042,Customer_42,Home Office,East,India,2022-10-31
CUST10043,Customer_43,Consumer,North,India,2023-09-05
CUST10044,Customer_44,Consumer,South,India,2020-05-05
CUST10045,Customer_45,Home Office,South,India,2020-11-01
CUST10046,Customer_46,Corporate,West,India,2023-01-17
CUST10047,Customer_47,Consumer,North,India,2023-10-10
CUST10048,Customer_48,Corporate,West,India,2021-09-19
CUST10049,Customer_49,Corporate,South,India,2023-10-07
CUST10050,Customer_50,Corporate,North,India,2021-11-19
CUST10051,Customer_51,Consumer,South,India,2022-11-03
CUST10052,Customer_52,Corporate,North,India,2023-07-04
CUST10053,Customer_53,Consumer,South,India,2023-05-17
CUST10054,Customer_54,Corporate,East,India,2020-10-07
CUST10055,Customer_55,Home Office,East,India,2021-03-18
CUST10056,Customer_56,Home Office,West,India,2022-04-16
CUST10057,Customer_57,Consumer,East,India,2021-01-23
CUST10058,Customer_58,Home Office,South,India,2021-09-08
CUST10059,Customer_59,Home Office,South,India,2020-05-26
CUST10060,Customer_60,Corporate,East,India,2023-07-26
CUST10061,Customer_61,Consumer,West,India,2021-06-04
CUST10062,Customer_62,Corporate,East,India,2021-09-21
CUST10063,Customer_63,Corporate,North,India,2021-03-09
CUST10064,Customer_64,Corporate,North,India,2020-05-23
CUST10065,Customer_65,Corporate,North,India,2020-10-15
CUST10066,Customer_66,Corporate,East,India,2023-11-10
CUST10067,Customer_67,Corporate,East,India,2020-01-14
CUST10068,Customer_68,Corporate,East,India,2020-09-13
CUST10069,Customer_69,Consumer,North,India,2023-10-01
CUST10070,Customer_70,Home Office,West,India,2023-09-30
CUST10071,Customer_71,Corporate,South,India,2023-11-24
CUST10072,Customer_72,Corporate,East,India,2023-05-15
CUST10073,Customer_73,Corporate,West,India,2022-05-07
CUST10074,Customer_74,Corporate,South,India,2022-07-31
CUST10075,Customer_75,Corporate,South,India,2023-04-10
CUST10076,Customer_76,Corporate,South,India,2021-04-08
CUST10077,Customer_77,Home Office,West,India,2020-09-26
CUST10078,Customer_78,Home Office,West,India,2023-05-29
CUST10079,Customer_79,Corporate,North,India,2023-03-21
CUST10080,Customer_80,Home Office,West,India,2021-09-14
CUST10081,Customer_81,Consumer,West,India,2023-04-21
CUST10082,Customer_82,Corporate,West,India,2023-11-23
CUST10083,Customer_83,Consumer,South,India,2020-03-12
CUST10084,Customer_84,Consumer,East,India,2023-12-12
CUST10085,Customer_85,Corporate,North,India,2023-07-30
CUST10086,Customer_86,Home Office,East,India,2020-03-14
CUST10087,Customer_87,Consumer,East,India,2020-12-20
CUST10088,Customer_88,Corporate,West,India,2021-05-11
CUST10089,Customer_89,Consumer,North,India,2023-09-13
CUST10090,Customer_90,Consumer,East,India,2022-09-14
CUST10091,Customer_91,Consumer,East,India,2021-08-02
CUST10092,Customer_92,Consumer,North,India,2022-06-28
CUST10093,Customer_93,Home Office,West,India,2024-01-10
CUST10094,Customer_94,Consumer,East,India,2021-01-07
CUST10095,Customer_95,Consumer,South,India,2020-12-27
CUST10096,Customer_96,Consumer,East,India,2020-04-02
CUST10097,Customer_97,Home Office,South,India,2023-09-06
CUST10098,Customer_98,Consumer,West,India,2020-11-19
CUST10099,Customer_99,Consumer,East,India,2021-01-18
CUST10100,Customer_100,Home Office,North,India,2021-07-28
CUST10101,Customer_101,Home Office,North,India,2022-01-05
CUST10102,Customer_102,Home Office,East,India,2022-01-06
CUST10103,Customer_103,Consumer,West,India,2020-12-11
CUST10104,Customer_104,Home Office,West,India,2023-01-31
CUST10105,Customer_105,Home Office,North,India,2023-05-23
CUST10106,Customer_106,Consumer,East,India,2023-04-30
CUST10107,Customer_107,Home Office,West,India,2021-12-19
CUST10108,Customer_108,Consumer,North,India,2022-02-19
CUST10109,Customer_109,Corporate,South,India,2022-10-16
CUST10110,Customer_110,Home Office,East,India,2023-05-02
CUST10111,Customer_111,Corporate,South,India,2023-11-04
CUST10112,Customer_112,Consumer,South,India,2023-11-27
